countryCode,genus,species,decimalLongitude,decimalLatitude,thermal_zone
PT,Xylotrechus,Xylotrechus arvicola,-9.051177,38.910943,subtropical
RU,Xylotrechus,Xylotrechus arvicola,56.628578,54.467595,temperate
ES,Xylotrechus,Xylotrechus arvicola,-3.772033,40.673783,subtropical
BG,Xylotrechus,Xylotrechus arvicola,24.521923,43.424491,temperate
FR,Xylotrechus,Xylotrechus arvicola,3.041721,50.484869,temperate
FR,Xylotrechus,Xylotrechus arvicola,-0.534166,46.118337,temperate
ES,Xylotrechus,Xylotrechus arvicola,-6.720551,43.465706,temperate
RU,Xylotrechus,Xylotrechus arvicola,56.446004,52.866821,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.749303,42.43042,temperate
IT,Xylotrechus,Xylotrechus arvicola,13.488671,43.201641,temperate
PT,Xylotrechus,Xylotrechus arvicola,-8.188556,39.935566,subtropical
ES,Xylotrechus,Xylotrechus arvicola,1.248319,42.614854,temperate
FR,Xylotrechus,Xylotrechus arvicola,-0.466017,47.590471,temperate
FR,Xylotrechus,Xylotrechus arvicola,0.757221,45.146949,temperate
FR,Xylotrechus,Xylotrechus arvicola,8.94737,41.79584,temperate
PT,Xylotrechus,Xylotrechus arvicola,-9.182431,38.799174,subtropical
PT,Xylotrechus,Xylotrechus arvicola,-8.228972,40.301997,subtropical
PT,Xylotrechus,Xylotrechus arvicola,-8.793922,41.892178,temperate
DE,Xylotrechus,Xylotrechus arvicola,13.388051,52.446791,temperate
FR,Xylotrechus,Xylotrechus arvicola,9.13371,41.87572,temperate
FR,Xylotrechus,Xylotrechus arvicola,9.13457,41.87525,temperate
FR,Xylotrechus,Xylotrechus arvicola,3.55596,43.35427,temperate
FR,Xylotrechus,Xylotrechus arvicola,0.63707,47.38149,temperate
PT,Xylotrechus,Xylotrechus arvicola,-8.228972,40.301997,subtropical
PT,Xylotrechus,Xylotrechus arvicola,-8.793922,41.892178,temperate
NL,Xylotrechus,Xylotrechus arvicola,5.8,51.3,temperate
NL,Xylotrechus,Xylotrechus arvicola,5.8,51.9,temperate
NL,Xylotrechus,Xylotrechus arvicola,5.8,51.3,temperate
DE,Xylotrechus,Xylotrechus arvicola,7.730152,50.139555,temperate
IT,Xylotrechus,Xylotrechus arvicola,11.336469,44.462512,temperate
ES,Xylotrechus,Xylotrechus arvicola,-8.913213,42.462842,temperate
ES,Xylotrechus,Xylotrechus arvicola,-1.769474,41.890962,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.638257,46.006675,temperate
FR,Xylotrechus,Xylotrechus arvicola,1.942695,47.238,temperate
FR,Xylotrechus,Xylotrechus arvicola,1.9427,47.23803,temperate
FR,Xylotrechus,Xylotrechus arvicola,1.33729,47.409095,temperate
FR,Xylotrechus,Xylotrechus arvicola,-1.7212,48.14699,temperate
FR,Xylotrechus,Xylotrechus arvicola,-1.28442,47.34701,temperate
FR,Xylotrechus,Xylotrechus arvicola,8.82326,42.02391,temperate
FR,Xylotrechus,Xylotrechus arvicola,-1.72861,47.2475,temperate
FR,Xylotrechus,Xylotrechus arvicola,-0.43027,43.34118,temperate
NL,Xylotrechus,Xylotrechus arvicola,5.65,50.8,temperate
NL,Xylotrechus,Xylotrechus arvicola,5.75,50.85,temperate
NL,Xylotrechus,Xylotrechus arvicola,5.85,51.05,temperate
NL,Xylotrechus,Xylotrechus arvicola,5.65,50.8,temperate
NL,Xylotrechus,Xylotrechus arvicola,6.05,51.35,temperate
NL,Xylotrechus,Xylotrechus arvicola,6.05,50.85,temperate
NL,Xylotrechus,Xylotrechus arvicola,5.65,50.8,temperate
RS,Xylotrechus,Xylotrechus arvicola,22.436351,42.374104,temperate
FR,Xylotrechus,Xylotrechus arvicola,1.31374,45.0557,temperate
FR,Xylotrechus,Xylotrechus arvicola,4.681985,45.378375,temperate
FR,Xylotrechus,Xylotrechus arvicola,-0.577019,44.787679,temperate
NL,Xylotrechus,Xylotrechus arvicola,5.85,51.6,temperate
DE,Xylotrechus,Xylotrechus arvicola,13.387715,52.549008,temperate
DE,Xylotrechus,Xylotrechus arvicola,10.535635,52.265565,temperate
NL,Xylotrechus,Xylotrechus arvicola,5.65,51.95,temperate
DE,Xylotrechus,Xylotrechus arvicola,8.648191,49.304916,temperate
DE,Xylotrechus,Xylotrechus arvicola,7.507606,49.803436,temperate
DE,Xylotrechus,Xylotrechus arvicola,7.507606,49.803436,temperate
DE,Xylotrechus,Xylotrechus arvicola,7.507606,49.803436,temperate
FR,Xylotrechus,Xylotrechus arvicola,4.682574,45.379969,temperate
NL,Xylotrechus,Xylotrechus arvicola,5.9,50.8,temperate
NL,Xylotrechus,Xylotrechus arvicola,5.4,51.35,temperate
NL,Xylotrechus,Xylotrechus arvicola,5.8,51.3,temperate
PT,Xylotrechus,Xylotrechus arvicola,-9.221306,39.309393,subtropical
DE,Xylotrechus,Xylotrechus arvicola,12.363736,51.372322,temperate
DE,Xylotrechus,Xylotrechus arvicola,7.009663,49.912434,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.24834,47.55581,temperate
FR,Xylotrechus,Xylotrechus arvicola,5.44852,45.72972,temperate
PT,Xylotrechus,Xylotrechus arvicola,-9.221306,39.309393,subtropical
NL,Xylotrechus,Xylotrechus arvicola,6.05,52,temperate
DE,Xylotrechus,Xylotrechus arvicola,12.623357,53.423485,temperate
BE,Xylotrechus,Xylotrechus arvicola,3.775357,50.625886,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.17756,48.44516,temperate
FR,Xylotrechus,Xylotrechus arvicola,1.75797,47.352955,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.50439,48.87316,temperate
NL,Xylotrechus,Xylotrechus arvicola,5.55,51.4,temperate
NL,Xylotrechus,Xylotrechus arvicola,5.95,51.15,temperate
DE,Xylotrechus,Xylotrechus arvicola,14.208295,51.424984,temperate
DE,Xylotrechus,Xylotrechus arvicola,10.236168,50.217339,temperate
DE,Xylotrechus,Xylotrechus arvicola,9.273405,51.132858,temperate
BG,Xylotrechus,Xylotrechus arvicola,23.326,42.672,temperate
FR,Xylotrechus,Xylotrechus arvicola,6.46637,44.526565,temperate
FR,Xylotrechus,Xylotrechus arvicola,1.194835,48.06771,temperate
FR,Xylotrechus,Xylotrechus arvicola,7.54055,43.83952,temperate
FR,Xylotrechus,Xylotrechus arvicola,5.43154,43.99696,temperate
FR,Xylotrechus,Xylotrechus arvicola,5.43154,43.99696,temperate
FR,Xylotrechus,Xylotrechus arvicola,5.43154,43.99696,temperate
FR,Xylotrechus,Xylotrechus arvicola,5.43154,43.99696,temperate
FR,Xylotrechus,Xylotrechus arvicola,6.12959,43.07879,temperate
FR,Xylotrechus,Xylotrechus arvicola,7.02487,43.58948,temperate
FR,Xylotrechus,Xylotrechus arvicola,5.43154,43.99696,temperate
FR,Xylotrechus,Xylotrechus arvicola,5.43154,43.99696,temperate
NL,Xylotrechus,Xylotrechus arvicola,6.1,51.35,temperate
NL,Xylotrechus,Xylotrechus arvicola,5.85,50.8,temperate
NL,Xylotrechus,Xylotrechus arvicola,6.3,52.1,temperate
NL,Xylotrechus,Xylotrechus arvicola,6,51.05,temperate
NL,Xylotrechus,Xylotrechus arvicola,6,51.05,temperate
NL,Xylotrechus,Xylotrechus arvicola,5.85,51.85,temperate
FR,Xylotrechus,Xylotrechus arvicola,6.28793,43.70435,temperate
AT,Xylotrechus,Xylotrechus arvicola,16.498,48.251,temperate
NL,Xylotrechus,Xylotrechus arvicola,6.15,51.45,temperate
AT,Xylotrechus,Xylotrechus arvicola,16.513449,48.180771,temperate
DE,Xylotrechus,Xylotrechus arvicola,8.040771,49.573898,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.44929,48.862,temperate
FR,Xylotrechus,Xylotrechus arvicola,6.23896,44.08117,temperate
FR,Xylotrechus,Xylotrechus arvicola,8.88041,42.33242,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.477357,48.833783,temperate
FR,Xylotrechus,Xylotrechus arvicola,1.15938,48.87085,temperate
NL,Xylotrechus,Xylotrechus arvicola,6,51.6,temperate
AT,Xylotrechus,Xylotrechus arvicola,16.497536,48.251311,temperate
NL,Xylotrechus,Xylotrechus arvicola,5.75,50.85,temperate
NL,Xylotrechus,Xylotrechus arvicola,6.2,51.4,temperate
DE,Xylotrechus,Xylotrechus arvicola,7.540842,49.823868,temperate
FR,Xylotrechus,Xylotrechus arvicola,6.47994,43.389885,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.44538,48.85978,temperate
FR,Xylotrechus,Xylotrechus arvicola,8.88041,42.33242,temperate
FR,Xylotrechus,Xylotrechus arvicola,8.88041,42.33242,temperate
FR,Xylotrechus,Xylotrechus arvicola,8.88041,42.33242,temperate
FR,Xylotrechus,Xylotrechus arvicola,5.43154,43.99696,temperate
FR,Xylotrechus,Xylotrechus arvicola,8.88041,42.33242,temperate
FR,Xylotrechus,Xylotrechus arvicola,4.83735,44.90899,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.38526,48.97335,temperate
NL,Xylotrechus,Xylotrechus arvicola,6.15,51.5,temperate
NL,Xylotrechus,Xylotrechus arvicola,5.85,51.5,temperate
NL,Xylotrechus,Xylotrechus arvicola,6.05,52.1,temperate
RU,Xylotrechus,Xylotrechus arvicola,51.493632,55.165294,temperate
FR,Xylotrechus,Xylotrechus arvicola,-0.01221,43.931965,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.37554,49.78229,temperate
FR,Xylotrechus,Xylotrechus arvicola,-2.24267,47.41727,temperate
FR,Xylotrechus,Xylotrechus arvicola,8.88041,42.33242,temperate
FR,Xylotrechus,Xylotrechus arvicola,8.88041,42.33242,temperate
FR,Xylotrechus,Xylotrechus arvicola,8.88041,42.33242,temperate
FR,Xylotrechus,Xylotrechus arvicola,1.69786,49.14771,temperate
FR,Xylotrechus,Xylotrechus arvicola,1.97551,48.97055,temperate
FR,Xylotrechus,Xylotrechus arvicola,5.38214,45.79949,temperate
FR,Xylotrechus,Xylotrechus arvicola,5.452359,44.683545,temperate
FR,Xylotrechus,Xylotrechus arvicola,-0.12,47.13,temperate
ES,Xylotrechus,Xylotrechus arvicola,-8.789757,42.254656,temperate
FR,Xylotrechus,Xylotrechus arvicola,5.79649,43.80814,temperate
FR,Xylotrechus,Xylotrechus arvicola,4.8403,44.999,temperate
FR,Xylotrechus,Xylotrechus arvicola,9.14077,42.498,temperate
FR,Xylotrechus,Xylotrechus arvicola,3.45232,46.00382,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.477392,50.796848,temperate
NL,Xylotrechus,Xylotrechus arvicola,5.75,51,temperate
NL,Xylotrechus,Xylotrechus arvicola,5.85,51.3,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.52019,49.15379,temperate
FR,Xylotrechus,Xylotrechus arvicola,0.209885,44.048435,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.65486,49.51382,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.52019,49.15379,temperate
FR,Xylotrechus,Xylotrechus arvicola,-0.52602,47.5721,temperate
FR,Xylotrechus,Xylotrechus arvicola,3.0232,42.53014,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.74789,48.44955,temperate
FR,Xylotrechus,Xylotrechus arvicola,9.14077,42.498,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93104,49.42441,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.93104,49.42441,temperate
FR,Xylotrechus,Xylotrechus arvicola,-0.45526,44.41987,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.462407,48.852065,temperate
FR,Xylotrechus,Xylotrechus arvicola,1.32273,45.84467,temperate
FR,Xylotrechus,Xylotrechus arvicola,1.97728,48.88063,temperate
FR,Xylotrechus,Xylotrechus arvicola,2.39878,47.80383,temperate
FR,Xylotrechus,Xylotrechus arvicola,1.26142,45.81124,temperate
RS,Xylotrechus,Xylotrechus arvicola,19.932075,44.248046,temperate
