countryCode,genus,species,decimalLongitude,decimalLatitude
FR,Xylotrechus,Xylotrechus arvicola,8.94737,41.79584
PT,Xylotrechus,Xylotrechus arvicola,-9.182431,38.799174
PT,Xylotrechus,Xylotrechus arvicola,-8.228972,40.301997
PT,Xylotrechus,Xylotrechus arvicola,-8.793922,41.892178
DE,Xylotrechus,Xylotrechus arvicola,13.388051,52.446791
FR,Xylotrechus,Xylotrechus arvicola,9.13371,41.87572
FR,Xylotrechus,Xylotrechus arvicola,9.13457,41.87525
FR,Xylotrechus,Xylotrechus arvicola,3.55596,43.35427
FR,Xylotrechus,Xylotrechus arvicola,0.63707,47.38149
PT,Xylotrechus,Xylotrechus arvicola,-8.228972,40.301997
PT,Xylotrechus,Xylotrechus arvicola,-8.793922,41.892178
NL,Xylotrechus,Xylotrechus arvicola,5.8,51.3
NL,Xylotrechus,Xylotrechus arvicola,5.8,51.9
NL,Xylotrechus,Xylotrechus arvicola,5.8,51.3
DE,Xylotrechus,Xylotrechus arvicola,7.730152,50.139555
IT,Xylotrechus,Xylotrechus arvicola,11.336469,44.462512
ES,Xylotrechus,Xylotrechus arvicola,-8.913213,42.462842
ES,Xylotrechus,Xylotrechus arvicola,-1.769474,41.890962
FR,Xylotrechus,Xylotrechus arvicola,2.638257,46.006675
FR,Xylotrechus,Xylotrechus arvicola,1.942695,47.238
FR,Xylotrechus,Xylotrechus arvicola,1.9427,47.23803
FR,Xylotrechus,Xylotrechus arvicola,1.33729,47.409095
FR,Xylotrechus,Xylotrechus arvicola,-1.7212,48.14699
FR,Xylotrechus,Xylotrechus arvicola,-1.28442,47.34701
FR,Xylotrechus,Xylotrechus arvicola,8.82326,42.02391
FR,Xylotrechus,Xylotrechus arvicola,-1.72861,47.2475
FR,Xylotrechus,Xylotrechus arvicola,-0.43027,43.34118
NL,Xylotrechus,Xylotrechus arvicola,5.65,50.8
NL,Xylotrechus,Xylotrechus arvicola,5.75,50.85
NL,Xylotrechus,Xylotrechus arvicola,5.85,51.05
NL,Xylotrechus,Xylotrechus arvicola,5.65,50.8
NL,Xylotrechus,Xylotrechus arvicola,6.05,51.35
NL,Xylotrechus,Xylotrechus arvicola,6.05,50.85
NL,Xylotrechus,Xylotrechus arvicola,5.65,50.8
